Confirmed,Date,Deaths,People_Hospitalized,People_Tested,Province_State,Recovered
6,03-13-2020,0,0,99,Kansas,0
12,03-13-2020,0,0,73,Indiana,0
32,03-13-2020,0,0,326,Illinois,0
16,03-13-2020,0,0,99,Iowa,0
62,03-13-2020,0,0,603,Minnesota,0
42,03-13-2020,1,0,42,Georgia,0
50,03-13-2020,2,0,528,Florida,0
4,03-13-2020,0,0,34,Delaware,0
10,03-13-2020,0,0,30,District of Columbia,0
6,03-13-2020,0,0,105,Connecticut,0
72,03-13-2020,0,0,596,Colorado,0
202,03-13-2020,4,0,1118,California,0
9,03-13-2020,0,22,103,Arizona,0
9,03-13-2020,0,0,39,Arkansas,0
1,03-13-2020,0,0,12,Alabama,0
1,03-13-2020,0,0,60,Alaska,0
2,03-13-2020,0,0,2,Hawaii,0
2,03-13-2020,0,0,73,Missouri,0
50,03-13-2020,1,0,147,New Jersey,0
1,03-13-2020,0,0,56,Montana,0
0,03-13-2020,0,0,17,West Virginia,0
23,03-13-2020,0,0,192,Wisconsin,0
2218,03-13-2020,47,0,15878,Washington,0
5,03-13-2020,0,0,228,Vermont,0
30,03-13-2020,0,0,147,Virginia,0
6,03-13-2020,0,0,137,Utah,0
39,03-13-2020,0,0,39,Texas,0
26,03-13-2020,0,0,142,Tennessee,0
9,03-13-2020,0,0,82,South Dakota,0
12,03-13-2020,0,0,87,South Carolina,0
14,03-13-2020,0,0,156,Rhode Island,0
4,03-13-2020,0,0,45,Mississippi,0
30,03-13-2020,0,0,367,Oregon,0
3,03-13-2020,0,0,39,Oklahoma,0
13,03-13-2020,0,0,63,Ohio,0
421,03-13-2020,0,0,3200,New York,0
11,03-13-2020,0,0,179,Nevada,0
10,03-13-2020,0,0,200,New Mexico,0
1,03-13-2020,0,0,1,Wyoming,0
6,03-13-2020,0,0,100,New Hampshire,0
13,03-13-2020,0,0,93,Nebraska,0
1,03-13-2020,0,0,40,North Dakota,0
15,03-13-2020,0,0,101,North Carolina,0
41,03-13-2020,0,0,181,Pennsylvania,0
46,03-14-2020,0,0,362,Illinois,0
15,03-14-2020,0,0,89,Indiana,0
6,03-14-2020,1,0,99,Kansas,0
14,03-14-2020,1,0,153,Kentucky,0
1196,03-14-2020,0,0,1401,Michigan,0
38,03-14-2020,0,0,38,Massachusetts,0
26,03-14-2020,0,0,120,Maryland,0
3,03-14-2020,0,0,94,Maine,0
2,03-14-2020,0,0,176,Idaho,0
51,03-14-2020,0,0,160,Louisiana,0
17,03-14-2020,0,0,100,Iowa,0
11,03-14-2020,0,0,136,Connecticut,0
66,03-14-2020,1,0,66,Georgia,0
77,03-14-2020,3,0,555,Florida,0
6,03-14-2020,0,0,42,Delaware,0
10,03-14-2020,0,0,59,District of Columbia,0
101,03-14-2020,1,0,711,Colorado,0
252,03-14-2020,5,0,1168,California,0
12,03-14-2020,0,26,133,Arizona,0
12,03-14-2020,0,0,77,Arkansas,0
6,03-14-2020,0,0,28,Alabama,0
1,03-14-2020,0,0,144,Alaska,0
90,03-14-2020,0,0,937,Minnesota,0
2,03-14-2020,0,0,2,Hawaii,0
4,03-14-2020,0,0,94,Missouri,0
6,03-14-2020,0,0,90,Mississippi,0
5,03-14-2020,0,0,108,Montana,0
0,03-14-2020,0,0,26,West Virginia,0
23,03-14-2020,0,0,192,Wisconsin,0
2484,03-14-2020,51,0,18207,Washington,0
