Admin2,City,Confirmed,Date,Deaths,Province_State,d10_Confirmed,d10_Deaths,d11_Confirmed,d11_Deaths,d12_Confirmed,d12_Deaths,d13_Confirmed,d13_Deaths,d14_Confirmed,d14_Deaths,d15_Confirmed,d15_Deaths,d16_Confirmed,d16_Deaths,d17_Confirmed,d17_Deaths,d18_Confirmed,d18_Deaths,d19_Confirmed,d19_Deaths,d1_Confirmed,d1_Deaths,d20_Confirmed,d20_Deaths,d21_Confirmed,d21_Deaths,d22_Confirmed,d22_Deaths,d23_Confirmed,d23_Deaths,d24_Confirmed,d24_Deaths,d25_Confirmed,d25_Deaths,d26_Confirmed,d26_Deaths,d27_Confirmed,d27_Deaths,d28_Confirmed,d28_Deaths,d2_Confirmed,d2_Deaths,d3_Confirmed,d3_Deaths,d4_Confirmed,d4_Deaths,d5_Confirmed,d5_Deaths,d6_Confirmed,d6_Deaths,d7_Confirmed,d7_Deaths,d8_Confirmed,d8_Deaths,d9_Confirmed,d9_Deaths,dWeek_Confirmed,dWeek_Deaths,dYesterday_Confirmed,dYesterday_Deaths,Population
Lee,,6903,11-08-2020,65,Alabama,20,0,25,0,53,0,21,0,4,0,12,0,17,0,21,0,35,0,12,-1,25,0,10,0,9,0,9,0,21,0,33,0,21,2,11,0,10,0,33,0,27,0,39,0,36,0,27,0,13,0,21,0,13,0,33,0,188.0,0.0,25,0,164542.0
Limestone,,3350,11-08-2020,37,Alabama,33,2,19,0,15,0,43,1,21,0,30,0,45,0,32,0,29,0,28,2,39,0,16,1,9,0,25,0,20,0,33,0,31,2,33,2,18,0,21,0,40,0,40,1,31,1,34,1,25,0,33,0,77,0,28,1,242.0,3.0,39,0,98915.0
Lowndes,,745,11-08-2020,29,Alabama,2,0,4,0,1,0,2,0,1,0,4,0,5,0,1,0,1,0,1,1,0,0,2,0,1,0,2,0,3,0,6,0,2,0,0,0,3,0,1,0,2,0,4,0,4,0,2,0,2,0,3,0,2,0,3,1,17.0,0.0,0,0,9726.0
Macon,,610,11-08-2020,20,Alabama,7,0,2,0,2,0,2,0,1,0,2,0,4,0,1,0,-1,0,2,0,12,0,-1,1,1,0,1,0,4,0,2,0,1,1,1,0,4,0,1,0,2,0,6,-1,2,0,16,0,3,0,4,0,7,0,8,1,45.0,-1.0,12,0,18068.0
Madison,,10358,11-08-2020,105,Alabama,62,0,90,0,45,0,28,2,44,0,70,0,52,2,78,0,72,0,30,1,74,0,49,1,48,0,58,0,75,0,76,4,64,5,32,0,41,0,48,0,134,-1,72,4,119,0,66,1,41,0,65,0,107,0,61,3,571.0,4.0,74,0,372909.0
Marengo,,1095,11-08-2020,24,Alabama,7,0,11,0,9,0,1,0,6,0,11,0,6,0,10,0,10,0,10,1,5,0,5,0,3,0,8,0,18,0,10,0,18,0,7,1,5,0,16,0,10,0,3,0,4,0,4,0,-2,1,5,0,5,0,8,1,29.0,1.0,5,0,18863.0
Marion,,1211,11-08-2020,31,Alabama,9,0,6,0,0,0,6,2,16,0,5,0,5,0,9,0,12,0,3,0,8,0,5,0,3,0,2,0,1,0,4,0,7,0,1,0,2,0,3,0,6,0,9,0,11,0,27,0,16,0,7,0,6,0,3,0,84.0,0.0,8,0,29709.0
Marshall,,4852,11-08-2020,53,Alabama,26,0,22,0,26,0,15,1,16,0,14,0,9,1,42,0,20,1,28,0,43,0,15,0,14,0,13,0,31,0,15,1,12,1,10,1,19,0,6,0,40,0,42,0,46,0,63,0,25,1,23,0,33,0,37,1,282.0,1.0,43,0,96774.0
Mobile,,17782,11-08-2020,328,Alabama,43,0,84,1,45,2,60,1,18,0,67,0,61,0,2320,1,63,0,70,0,53,1,53,0,9,0,56,0,57,1,40,0,64,1,33,3,40,0,29,1,62,2,76,1,86,0,99,1,64,1,44,0,37,2,95,1,484.0,6.0,53,1,413210.0
Monroe,,692,11-08-2020,10,Alabama,0,0,3,0,5,0,7,0,2,0,0,0,1,0,5,0,4,0,5,1,1,0,4,0,2,0,1,0,5,0,1,0,3,0,1,0,4,0,2,0,3,0,5,0,5,0,4,0,6,0,0,0,1,0,4,0,24.0,0.0,1,0,20733.0
Montgomery,,11119,11-08-2020,219,Alabama,73,6,68,0,83,1,54,1,48,0,53,0,219,0,103,1,55,0,61,0,39,0,68,0,76,0,31,0,67,0,64,1,54,1,53,5,53,0,49,0,78,4,65,0,48,4,75,0,54,1,58,0,48,0,78,5,417.0,9.0,39,0,226486.0
Morgan,,4877,11-08-2020,40,Alabama,120,0,45,0,40,0,41,0,18,0,44,0,49,0,35,0,36,2,32,0,59,0,23,1,13,0,47,0,39,0,46,0,43,0,33,0,33,0,26,0,65,1,51,0,33,2,75,0,27,1,44,0,49,0,46,1,354.0,4.0,59,0,119679.0
Out of AL,,0,11-08-2020,0,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,
Perry,,618,11-08-2020,6,Alabama,3,0,3,0,1,0,2,0,1,0,3,0,4,0,2,0,2,0,1,0,0,0,1,0,0,0,2,0,1,0,-1,0,2,0,0,0,3,0,1,0,3,0,1,0,5,0,3,0,0,0,0,0,2,0,2,0,12.0,0.0,0,0,8923.0
Pickens,,994,11-08-2020,18,Alabama,10,0,16,0,5,0,9,0,8,0,5,0,11,0,12,1,13,0,6,0,3,0,2,0,10,0,15,0,3,0,14,0,14,2,12,0,12,0,2,0,12,0,7,0,14,0,14,0,12,0,3,0,13,0,16,0,65.0,0.0,3,0,19930.0
Pike,,1429,11-08-2020,14,Alabama,6,0,9,0,10,0,1,1,3,0,6,0,8,0,4,0,10,0,8,1,4,0,3,0,1,0,2,0,6,0,5,0,4,0,4,0,8,0,5,0,6,0,9,0,4,0,7,0,6,0,8,0,6,0,9,0,44.0,0.0,4,0,33114.0
Randolph,,890,11-08-2020,18,Alabama,7,0,3,0,8,0,6,0,2,0,4,0,3,0,8,0,7,2,7,0,2,0,3,0,2,0,12,0,7,0,8,0,5,1,14,0,7,0,1,0,5,2,4,0,3,0,5,0,1,0,5,0,6,0,6,0,25.0,2.0,2,0,22722.0
Russell,,2022,11-08-2020,3,Alabama,16,0,7,0,16,0,7,0,4,0,5,0,16,0,5,0,18,0,0,0,0,0,3,0,3,0,1,0,9,0,15,0,6,0,-1,0,10,0,5,0,4,0,6,0,4,0,2,0,-2,0,1,0,3,0,5,0,15.0,0.0,0,0,57961.0
Shelby,,8251,11-08-2020,71,Alabama,55,2,42,0,59,0,68,2,46,0,52,0,64,0,70,1,51,1,54,1,69,0,64,0,33,0,47,0,49,0,53,0,49,1,46,1,52,0,33,0,92,1,73,0,70,0,77,0,44,0,38,0,72,0,56,3,463.0,1.0,69,0,217702.0
St. Clair,,3477,11-08-2020,52,Alabama,25,1,43,0,30,0,41,0,44,0,30,0,34,0,20,0,33,0,17,0,30,0,24,0,30,0,32,0,30,0,29,0,29,1,16,0,41,0,8,0,30,0,39,1,21,1,59,4,44,3,14,0,34,0,68,0,237.0,9.0,30,0,89512.0
Sumter,,509,11-08-2020,21,Alabama,1,0,9,0,3,0,1,0,1,0,0,0,0,0,2,0,2,0,1,0,3,0,3,0,0,0,0,0,1,0,2,0,2,0,2,0,0,0,0,0,4,0,8,0,4,0,1,0,1,0,0,0,1,0,0,0,21.0,0.0,3,0,12427.0
Talladega,,2941,11-08-2020,40,Alabama,13,0,25,0,25,0,40,2,10,0,11,0,17,0,26,0,19,0,7,0,6,0,34,1,14,0,7,0,34,0,22,0,19,1,7,0,39,0,7,0,25,0,18,1,26,1,23,0,25,0,10,0,11,0,20,1,133.0,2.0,6,0,79978.0
Tallapoosa,,1476,11-08-2020,87,Alabama,13,0,19,0,14,0,9,0,1,0,12,0,4,0,8,0,10,0,9,1,9,0,14,0,3,0,2,0,18,0,4,1,9,0,3,0,11,0,2,0,13,0,11,0,13,0,11,0,10,0,6,0,5,0,13,0,73.0,0.0,9,0,40367.0
Tuscaloosa,,11205,11-08-2020,146,Alabama,39,1,63,0,77,1,48,0,69,0,49,0,61,0,87,1,82,2,43,4,64,0,40,1,97,0,104,0,35,0,45,2,51,2,32,0,72,0,44,0,116,0,49,1,39,0,93,0,20,0,32,0,58,0,93,3,413.0,1.0,64,0,209355.0
Unassigned,,0,11-08-2020,0,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,
